# stage,region,orbits,ncells,mean,median,max
low_sink_10_orbits,horizon,0.0,0,nan,nan,nan
low_sink_10_orbits,sink_radius,0.0,472,1357.237217719608,0.0,18687.627049139846
low_sink_10_orbits,horizon,2.0013734093805837,0,nan,nan,nan
low_sink_10_orbits,sink_radius,2.0013734093805837,472,0.0008846807441984765,2.262219705518554e-05,0.048060360491485606
low_sink_10_orbits,horizon,4.0027468187611674,0,nan,nan,nan
low_sink_10_orbits,sink_radius,4.0027468187611674,472,7.23189486212853e-10,6.237220120924597e-11,4.4753563015692623e-08
low_sink_10_orbits,horizon,6.000141354564454,0,nan,nan,nan
low_sink_10_orbits,sink_radius,6.000141354564454,472,3.901535840880415e-15,7.0707173729650145e-16,3.13610849973098e-13
low_sink_10_orbits,horizon,8.001514763945037,0,nan,nan,nan
low_sink_10_orbits,sink_radius,8.001514763945037,472,6.570151678316503e-20,1.5174442378730778e-20,2.2720944237781377e-18
low_sink_10_orbits,horizon,10.000003489982081,0,nan,nan,nan
low_sink_10_orbits,sink_radius,10.000003489982081,472,6.503126920234312e-25,1.8511744007357732e-25,1.1603201684458488e-23
zoom_amr_1_orbit,horizon,10.250672525351817,16,2.817514444249908e-26,3.2872788500380156e-27,2.651912681387515e-25
zoom_amr_1_orbit,sink_radius,10.250672525351817,3664,5.852829654764992e-25,1.2496516907654321e-25,2.297989071070126e-23
zoom_amr_1_orbit,horizon,10.501341560721553,16,1.0482794634737692e-26,3.7259375796087154e-27,4.68963720411065e-26
zoom_amr_1_orbit,sink_radius,10.501341560721553,3664,1.758106165995501e-25,1.9532327064587292e-26,1.1654205939525426e-23
zoom_amr_1_orbit,horizon,10.750021159302639,16,1.1627327116366994e-27,2.625222637386228e-28,6.157452425487543e-27
zoom_amr_1_orbit,sink_radius,10.750021159302639,3664,5.862329456572876e-26,3.7966155430790926e-27,5.851133476751366e-24
zoom_amr_1_orbit,horizon,10.999993891796345,16,7.009979056212436e-28,1.50950995260018e-28,4.6970255630467705e-27
zoom_amr_1_orbit,sink_radius,10.999993891796345,3664,2.450659464914872e-26,1.2615104065321032e-27,3.175858500243173e-24
