case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,explicit,256,-4.98046875,3.351807263547072e-08,3.351807263547072e-08,3.352009366467941e-08
hydro_viscosity,explicit,256,-4.94140625,3.4247566704901385e-08,3.4247566704901385e-08,3.4249669556987276e-08
hydro_viscosity,explicit,256,-4.90234375,3.498704127173294e-08,3.498704127173294e-08,3.4989192265118075e-08
hydro_viscosity,explicit,256,-4.86328125,3.573642567724162e-08,3.573642567724162e-08,3.57386231156297e-08
hydro_viscosity,explicit,256,-4.82421875,3.649567535494678e-08,3.649567535494678e-08,3.649791751039081e-08
hydro_viscosity,explicit,256,-4.78515625,3.726473971734418e-08,3.726473971734418e-08,3.7267024830251464e-08
hydro_viscosity,explicit,256,-4.74609375,3.804356206153277e-08,3.804356206153277e-08,3.8045888341816605e-08
hydro_viscosity,explicit,256,-4.70703125,3.883207947936911e-08,3.883207947936911e-08,3.883444510748392e-08
hydro_viscosity,explicit,256,-4.66796875,3.963022277088699e-08,3.963022277088699e-08,3.963262589890747e-08
hydro_viscosity,explicit,256,-4.62890625,4.0437916361323345e-08,4.0437916361323345e-08,4.044035511404755e-08
hydro_viscosity,explicit,256,-4.58984375,4.12550782218873e-08,4.12550782218873e-08,4.1257550697966345e-08
hydro_viscosity,explicit,256,-4.55078125,4.2081619794433446e-08,4.2081619794433446e-08,4.2084124067527804e-08
hydro_viscosity,explicit,256,-4.51171875,4.2917445920196165e-08,4.2917445920196165e-08,4.291998004015846e-08
hydro_viscosity,explicit,256,-4.47265625,4.376245477274009e-08,4.376245477274009e-08,4.376501676682476e-08
hydro_viscosity,explicit,256,-4.43359375,4.4616537795280217e-08,4.4616537795280217e-08,4.461912566937989e-08
hydro_viscosity,explicit,256,-4.39453125,4.547957964252273e-08,4.547957964252273e-08,4.548219138243152e-08
hydro_viscosity,explicit,256,-4.35546875,4.635145812717545e-08,4.635145812717545e-08,4.635409169987883e-08
hydro_viscosity,explicit,256,-4.31640625,4.723204417127362e-08,4.723204417127362e-08,4.723469752626528e-08
hydro_viscosity,explicit,256,-4.27734375,4.812120176246461e-08,4.812120176246461e-08,4.812387283308972e-08
