case,method,resolution,repeat,wall_seconds,cpu_time_used,zonecycles_per_cpu_second,final_cycle,first_dt,rms_l1,linfty
hydro_viscosity,explicit,64,1,0.0654552090272773,0.05452896,962424.4,820,0.004882812,4.000532e-11,6.884284e-13
hydro_viscosity,explicit,64,2,0.06699441600358114,0.05469171,959560.4,820,0.004882812,4.000532e-11,6.884284e-13
hydro_viscosity,explicit,64,3,0.06664766700123437,0.05567475,942617.6,820,0.004882812,4.000532e-11,6.884284e-13
hydro_viscosity,explicit,64,4,0.06841208299738355,0.05505867,953165.1,820,0.004882812,4.000532e-11,6.884284e-13
hydro_viscosity,explicit,64,5,0.06643670800258406,0.05592796,938350.0,820,0.004882812,4.000532e-11,6.884284e-13
hydro_viscosity,explicit,128,1,0.17577454197453335,0.1653825,2536277.0,3277,0.001220703,9.952912e-12,8.56709e-14
hydro_viscosity,explicit,128,2,0.18078604200854897,0.168827,2484531.0,3277,0.001220703,9.952912e-12,8.56709e-14
hydro_viscosity,explicit,128,3,0.18366937499376945,0.1707011,2457254.0,3277,0.001220703,9.952912e-12,8.56709e-14
hydro_viscosity,explicit,128,4,0.1713256250077393,0.163796,2560844.0,3277,0.001220703,9.952912e-12,8.56709e-14
hydro_viscosity,explicit,128,5,0.17569383399677463,0.1656027,2532906.0,3277,0.001220703,9.952912e-12,8.56709e-14
hydro_viscosity,explicit,256,1,0.7626447500078939,0.7511181,4467537.0,13108,0.0003051758,2.481577e-12,1.06911e-14
hydro_viscosity,explicit,256,2,0.7857035420020111,0.7713062,4350604.0,13108,0.0003051758,2.481577e-12,1.06911e-14
hydro_viscosity,explicit,256,3,0.776933209010167,0.7623946,4401458.0,13108,0.0003051758,2.481577e-12,1.06911e-14
hydro_viscosity,explicit,256,4,0.7834199999924749,0.7687604,4365012.0,13108,0.0003051758,2.481577e-12,1.06911e-14
hydro_viscosity,explicit,256,5,0.797316124982899,0.7828396,4286508.0,13108,0.0003051758,2.481577e-12,1.06911e-14
hydro_viscosity,sts,64,1,0.03765879198908806,0.02428404,171305.9,65,0.0625,5.672338e-11,1.698078e-12
hydro_viscosity,sts,64,2,0.03650999997626059,0.02540604,163740.6,65,0.0625,5.672338e-11,1.698078e-12
hydro_viscosity,sts,64,3,0.039596165996044874,0.02685204,154923.0,65,0.0625,5.672338e-11,1.698078e-12
hydro_viscosity,sts,64,4,0.03643866698257625,0.02618629,158861.8,65,0.0625,5.672338e-11,1.698078e-12
hydro_viscosity,sts,64,5,0.03703908299212344,0.025566,162716.1,65,0.0625,5.672338e-11,1.698078e-12
hydro_viscosity,sts,128,1,0.061044041998684406,0.05079625,325063.3,129,0.03125,2.819854e-11,9.69439e-13
hydro_viscosity,sts,128,2,0.06435783300548792,0.05071183,325604.5,129,0.03125,2.819854e-11,9.69439e-13
hydro_viscosity,sts,128,3,0.08628445802605711,0.07295646,226326.8,129,0.03125,2.819854e-11,9.69439e-13
hydro_viscosity,sts,128,4,0.06370362499728799,0.04998933,330310.5,129,0.03125,2.819854e-11,9.69439e-13
hydro_viscosity,sts,128,5,0.0640181670023594,0.0526465,313639.1,129,0.03125,2.819854e-11,9.69439e-13
hydro_viscosity,sts,256,1,0.16258870798628777,0.1524648,431522.6,257,0.015625,1.096144e-11,2.731718e-13
hydro_viscosity,sts,256,2,0.1573144999856595,0.1457444,451420.5,257,0.015625,1.096144e-11,2.731718e-13
hydro_viscosity,sts,256,3,0.15953912498662248,0.1463937,449418.2,257,0.015625,1.096144e-11,2.731718e-13
hydro_viscosity,sts,256,4,0.18530708400066942,0.1737508,378657.3,257,0.015625,1.096144e-11,2.731718e-13
hydro_viscosity,sts,256,5,0.160051167011261,0.1527359,430756.7,257,0.015625,1.096144e-11,2.731718e-13
hydro_conduction,explicit,64,1,0.042090041999472305,0.03244521,1078988.0,547,0.007324182,5.054867e-11,1.130884e-12
hydro_conduction,explicit,64,2,0.0409378329932224,0.02989446,1171053.0,547,0.007324182,5.054867e-11,1.130884e-12
hydro_conduction,explicit,64,3,0.042562207992887124,0.0311645,1123329.0,547,0.007324182,5.054867e-11,1.130884e-12
hydro_conduction,explicit,64,4,0.04209683299995959,0.03285667,1065476.0,547,0.007324182,5.054867e-11,1.130884e-12
hydro_conduction,explicit,64,5,0.04024137498345226,0.03146696,1112532.0,547,0.007324182,5.054867e-11,1.130884e-12
hydro_conduction,explicit,128,1,0.11525329100550152,0.1056382,2647528.0,2185,0.001831046,1.270286e-11,1.410113e-13
hydro_conduction,explicit,128,2,0.11076133299502544,0.09932679,2815756.0,2185,0.001831046,1.270286e-11,1.410113e-13
hydro_conduction,explicit,128,3,0.1115206670074258,0.102366,2732156.0,2185,0.001831046,1.270286e-11,1.410113e-13
hydro_conduction,explicit,128,4,0.11670283300918527,0.1042615,2682486.0,2185,0.001831046,1.270286e-11,1.410113e-13
hydro_conduction,explicit,128,5,0.11213662498630583,0.1003577,2786831.0,2185,0.001831046,1.270286e-11,1.410113e-13
hydro_conduction,explicit,256,1,0.5052775419899262,0.4917889,4549074.0,8739,0.0004577614,3.186108e-12,1.761482e-14
hydro_conduction,explicit,256,2,0.5088220830075443,0.4962331,4508333.0,8739,0.0004577614,3.186108e-12,1.761482e-14
hydro_conduction,explicit,256,3,0.4928270000091288,0.4790432,4670109.0,8739,0.0004577614,3.186108e-12,1.761482e-14
hydro_conduction,explicit,256,4,0.5049558750179131,0.4930699,4537255.0,8739,0.0004577614,3.186108e-12,1.761482e-14
hydro_conduction,explicit,256,5,0.4948613329906948,0.4811538,4649623.0,8739,0.0004577614,3.186108e-12,1.761482e-14
hydro_conduction,sts,64,1,0.032988291000947356,0.02046121,428518.2,137,0.02929673,3.484001e-11,1.147606e-12
hydro_conduction,sts,64,2,0.03218800001195632,0.01883104,465614.2,137,0.02929673,3.484001e-11,1.147606e-12
hydro_conduction,sts,64,3,0.03052937498432584,0.01911158,458779.4,137,0.02929673,3.484001e-11,1.147606e-12
hydro_conduction,sts,64,4,0.03269108300446533,0.02299092,381368.0,137,0.02929673,3.484001e-11,1.147606e-12
hydro_conduction,sts,64,5,0.029289500002050772,0.01828462,479528.6,137,0.02929673,3.484001e-11,1.147606e-12
hydro_conduction,sts,128,1,0.090856166993035,0.07902583,885988.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,2,0.09744383301585913,0.08413546,832181.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,3,0.08957050001481548,0.07941917,881600.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,4,0.09479691600427032,0.08133288,860857.3,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,5,0.09026958301546983,0.07688812,910621.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,256,1,0.34161758300615475,0.328401,1703284.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,2,0.34080045801238157,0.3289511,1700435.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,3,0.3431820409896318,0.3306665,1691614.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,4,0.33936016701045446,0.3280065,1705332.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,5,0.36862541700247675,0.3538378,1580837.0,2185,0.001831046,2.129516e-12,1.818164e-14
mhd_resistivity,explicit,64,1,0.0678094580071047,0.05807025,903733.0,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,2,0.0717188749986235,0.06156092,852488.9,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,3,0.07121529200230725,0.06098137,860590.6,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,4,0.07044487501843832,0.05903854,888910.8,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,5,0.07472658401820809,0.06030525,870239.3,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,128,1,0.22003066600882448,0.210703,1990745.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,2,0.31117845900007524,0.2967848,1413334.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,3,0.23221024998929352,0.2213717,1894804.0,3277,0.001220703,9.95288e-12,8.56709e-14
