case,method,resolution,samples,wall_seconds_median,wall_seconds_min,wall_seconds_max,wall_seconds_std,cpu_time_used_median,zonecycles_per_cpu_second_median,rms_l1_median,linfty_median,first_dt_median,final_cycle_median
hydro_conduction,explicit,64,5,0.042090041999472305,0.04024137498345226,0.042562207992887124,0.0009612657093774989,0.03146696,1112532.0,5.054867e-11,1.130884e-12,0.007324182,547
hydro_conduction,explicit,128,5,0.11213662498630583,0.11076133299502544,0.11670283300918527,0.0025668939480062197,0.102366,2732156.0,1.270286e-11,1.410113e-13,0.001831046,2185
hydro_conduction,explicit,256,5,0.5049558750179131,0.4928270000091288,0.5088220830075443,0.007053443591515616,0.4917889,4549074.0,3.186108e-12,1.761482e-14,0.0004577614,8739
hydro_conduction,sts,64,5,0.03218800001195632,0.029289500002050772,0.032988291000947356,0.0015754775678493234,0.01911158,458779.4,3.484001e-11,1.147606e-12,0.02929673,137
hydro_conduction,sts,128,5,0.090856166993035,0.08957050001481548,0.09744383301585913,0.003388880029945033,0.07941917,881600.8,8.565206e-12,1.432552e-13,0.007324182,547
hydro_conduction,sts,256,5,0.34161758300615475,0.33936016701045446,0.36862541700247675,0.012324844675239463,0.3289511,1700435.0,2.129516e-12,1.818164e-14,0.001831046,2185
hydro_viscosity,explicit,64,5,0.06664766700123437,0.0654552090272773,0.06841208299738355,0.0010723428723163919,0.05505867,953165.1,4.000532e-11,6.884284e-13,0.004882812,820
hydro_viscosity,explicit,128,5,0.17577454197453335,0.1713256250077393,0.18366937499376945,0.004827241686511891,0.1656027,2532906.0,9.952912e-12,8.56709e-14,0.001220703,3277
hydro_viscosity,explicit,256,5,0.7834199999924749,0.7626447500078939,0.797316124982899,0.012722445917356263,0.7687604,4365012.0,2.481577e-12,1.06911e-14,0.0003051758,13108
hydro_viscosity,sts,64,5,0.03703908299212344,0.03643866698257625,0.039596165996044874,0.0012966166787616122,0.025566,162716.1,5.672338e-11,1.698078e-12,0.0625,65
hydro_viscosity,sts,128,5,0.0640181670023594,0.061044041998684406,0.08628445802605711,0.010370823333125488,0.05079625,325063.3,2.819854e-11,9.69439e-13,0.03125,129
hydro_viscosity,sts,256,5,0.160051167011261,0.1573144999856595,0.18530708400066942,0.0115278255838608,0.1524648,431522.6,1.096144e-11,2.731718e-13,0.015625,257
mhd_resistivity,explicit,64,5,0.07121529200230725,0.0678094580071047,0.07472658401820809,0.0024885139414158037,0.06030525,870239.3,4.000532e-11,6.884284e-13,0.004882812,820
mhd_resistivity,explicit,128,5,0.22493100000428967,0.22003066600882448,0.31117845900007524,0.038596433282282974,0.2126517,1972502.0,9.95288e-12,8.56709e-14,0.001220703,3277
mhd_resistivity,explicit,256,5,0.9388446249940898,0.9337195420230273,0.9540315000049304,0.007889663694971627,0.9238652,3632184.0,2.481378e-12,1.06911e-14,0.0003051758,13108
mhd_resistivity,sts,64,5,0.052057916997000575,0.050318958004936576,0.05950083301286213,0.0036612874616804023,0.038217,172488.7,3.591092e-11,7.092263e-13,0.0390625,103
mhd_resistivity,sts,128,5,0.17268408299423754,0.1677864580124151,0.17657312500523403,0.003230580703293909,0.1596764,328664.7,9.506087e-12,8.968579e-14,0.009765625,410
mhd_resistivity,sts,256,5,0.7068011249939445,0.697775708977133,0.7236028329934925,0.009886252600415818,0.6928955,605551.6,2.454568e-12,1.127594e-14,0.002441406,1639
