# i re im
0.000000000000000000e+00 -1.846954183126115525e-05 -1.937751733632351382e-05
1.000000000000000000e+00 -3.638406401579850381e-06 -3.720739264169171042e-06
2.000000000000000000e+00 -3.634454612890601137e-06 -3.722671760850797586e-06
3.000000000000000000e+00 -1.982890311874219111e-06 -1.985961455997972697e-06
4.000000000000000000e+00 -1.979396237930267339e-06 -1.987860076922028899e-06
5.000000000000000000e+00 -1.383027684984138551e-06 -1.363823958254398779e-06
6.000000000000000000e+00 -1.380153025184758104e-06 -1.365584996121423120e-06
7.000000000000000000e+00 -1.074880689489783684e-06 -1.047882895839828777e-06
8.000000000000000000e+00 -1.072483018283883008e-06 -1.049399859872794268e-06
9.000000000000000000e+00 -8.871906621105867800e-07 -8.578336593436005935e-07
1.000000000000000000e+01 -8.851506119743617998e-07 -8.595512147770820554e-07
1.100000000000000000e+01 -7.606947908210422996e-07 -7.319371064436368534e-07
1.200000000000000000e+01 -7.589275473141646551e-07 -7.335503876305549122e-07
1.300000000000000000e+01 -6.695227933791916591e-07 -6.426180320053267531e-07
1.400000000000000000e+01 -6.679681134538793779e-07 -6.442768627467837872e-07
1.500000000000000000e+01 -6.005928383708610722e-07 -5.764497229433228595e-07
1.600000000000000000e+01 -5.992068342313400836e-07 -5.782269151440846879e-07
1.700000000000000000e+01 -5.465789220462258390e-07 -5.258740234079160510e-07
1.800000000000000000e+01 -5.453281465953861536e-07 -5.275674955513800914e-07
1.900000000000000000e+01 -5.030562559020925506e-07 -4.859436448870072967e-07
2.000000000000000000e+01 -5.019147733607747599e-07 -4.878053540135221993e-07
2.100000000000000000e+01 -4.671934964868665104e-07 -4.543737947009873246e-07
2.200000000000000000e+01 -4.661400487964885118e-07 -4.565274386504721190e-07
2.300000000000000000e+01 -4.370913547460157912e-07 -4.291819236175209229e-07
2.400000000000000000e+01 -4.361073981911188926e-07 -4.314608125676313551e-07
2.500000000000000000e+01 -4.114257391053764842e-07 -4.087496077528431560e-07
2.600000000000000000e+01 -4.104944659836556714e-07 -4.111223961512329690e-07
2.700000000000000000e+01 -3.892424663146837070e-07 -3.921527802393422886e-07
2.800000000000000000e+01 -3.883476805498172999e-07 -3.947707980344607581e-07
2.900000000000000000e+01 -3.698333741081499943e-07 -3.789059764046743950e-07
3.000000000000000000e+01 -3.689590171650210473e-07 -3.818530376928469575e-07
3.100000000000000000e+01 -3.526587488945257610e-07 -3.688988553978873777e-07
3.200000000000000000e+01 -3.517873494328919314e-07 -3.725761835583386972e-07
3.300000000000000000e+01 -3.372937617324227812e-07 -3.620400617817044071e-07
3.400000000000000000e+01 -3.364043171291300779e-07 -3.659353877096230821e-07
3.500000000000000000e+01 -3.233935309424657999e-07 -3.572959403396274880e-07
3.600000000000000000e+01 -3.224629346076217772e-07 -3.618388537125455404e-07
3.700000000000000000e+01 -3.106705871805672813e-07 -3.553932939625279432e-07
3.800000000000000000e+01 -3.096690906807945528e-07 -3.607649877522501133e-07
3.900000000000000000e+01 -2.988705883567864150e-07 -3.562780211977500911e-07
4.000000000000000000e+01 -2.977601559288971138e-07 -3.625979326092745513e-07
4.100000000000000000e+01 -2.877577379360829244e-07 -3.602229794957555584e-07
